Country Key;Time Key;Proportion of population aged 0-14 years;Proportion of population aged 15-24 years;Proportion of population aged 25-49 years;Proportion of population aged 50-64 years;Proportion of population aged 65-79 years;Proportion of population aged 80 years and more;Populacao Ativa Masculina;Populacao Ativa Feminina
25;11;0,177;0,155;0,371;0,18;0,098;0,018;NA;NA
25;12;0,175;0,152;0,372;0,184;0,098;0,019;NA;NA
25;13;0,172;0,15;0,372;0,188;0,098;0,019;NA;NA
25;14;0,17;0,146;0,374;0,19;0,1;0,02;NA;NA
25;15;0,169;0,142;0,375;0,191;0,102;0,021;NA;NA
25;16;0,168;0,138;0,374;0,193;0,104;0,022;NA;NA
25;17;0,167;0,135;0,374;0,194;0,107;0,023;NA;NA
25;18;0,166;0,131;0,375;0,196;0,108;0,024;NA;NA
25;19;0,165;0,127;0,375;0,197;0,112;0,025;NA;NA
25;20;0,164;0,124;0,375;0,197;0,115;0,025;NA;NA
25;21;0,162;0,12;0,375;0,198;0,119;0,026;NA;NA
30;10;0,153;0,125;0,34;0,21;0,139;0,032;NA;NA
30;11;0,152;0,123;0,341;0,214;0,136;0,034;NA;NA
30;12;0,144;0,119;0,338;0,227;0,138;0,034;NA;NA
30;13;0,144;0,117;0,338;0,228;0,137;0,036;NA;NA
30;14;0,144;0,115;0,338;0,228;0,138;0,038;NA;NA
30;15;0,143;0,113;0,338;0,226;0,141;0,04;NA;NA
30;16;0,144;0,111;0,338;0,223;0,143;0,041;NA;NA
30;17;0,144;0,109;0,338;0,219;0,147;0,043;NA;NA
30;18;0,144;0,107;0,338;0,217;0,15;0,044;NA;NA
30;19;0,144;0,106;0,338;0,213;0,154;0,045;NA;NA
30;20;0,143;0,105;0,338;0,209;0,158;0,046;NA;NA
30;21;0,143;0,104;0,337;0,206;0,163;0,047;NA;NA
36;10;0,263;0,174;0,373;0,122;0,057;0,011;NA;NA
36;11;0,26;0,172;0,373;0,124;0,058;0,012;NA;NA
36;12;0,256;0,17;0,373;0,128;0,059;0,013;NA;NA
36;13;0,253;0,168;0,375;0,131;0,059;0,014;NA;NA
36;14;0,249;0,166;0,374;0,135;0,06;0,015;NA;NA
36;15;0,246;0,166;0,374;0,138;0,06;0,016;NA;NA
36;16;0,243;0,165;0,372;0,141;0,063;0,017;NA;NA
36;17;0,24;0,164;0,369;0,145;0,066;0,017;NA;NA
36;18;0,237;0,163;0,369;0,148;0,066;0,017;NA;NA
36;19;0,236;0,161;0,37;0,149;0,068;0,017;NA;NA
36;20;0,234;0,158;0,37;0,15;0,07;0,018;NA;NA
36;21;0,231;0,156;0,371;0,152;0,073;0,018;NA;NA
